ID,Mass,Height,Landing Limbs,Trial No,Hip Flexion ROM,Knee Flexion ROM,Ankle Flexion ROM,Hip Flexion at Contact,Knee Flexion at Contact,Ankle Flexion at Contact,RXF,RXF_R,JCF,JCF_R,RXF_FE_FFT,JCF_FE_FFT,RXF_FFT,JCF_FFT,RXF_FE,JCF_FE,RXF_SMR,JCF_SMR,DIS,IMU_FFT
1,75,6.000000000e-01,1,8,2.297182000e+01,7.858336900e+01,7.471152300e+01,3.607423800e+01,-2.400463700e+01,-1.542092400e+01,3.984357745e+00,1.674274762e+02,1.372075116e+01,1.887668312e+02,4.097296561e-04,2.149566878e-03,1.495397701e+02,7.845312927e+02,8.032103332e-03,2.765978814e-02,1.344794789e+00,5.221250558e+00,,
1,75,6.000000000e-01,2,8,6.597032800e+01,1.033093720e+02,6.650156300e+01,4.210254600e+01,-6.229206300e+01,1.246478000e+00,1.764392102e+00,7.276201115e+01,8.375277825e+00,9.223671458e+01,2.125258653e-04,1.287807802e-03,7.756594761e+01,4.700135314e+02,3.556854225e-03,1.688379941e-02,2.588038668e-01,1.557306187e+00,,
1,75,6.000000000e-01,1,9,2.297182000e+01,7.858336900e+01,7.471152300e+01,3.607423800e+01,-2.400463700e+01,-1.542092400e+01,3.984357745e+00,1.674274762e+02,1.313023931e+01,1.549168540e+02,4.097296561e-04,1.513587066e-03,1.495397701e+02,5.524165958e+02,8.032103332e-03,2.646936989e-02,1.344794789e+00,4.100551511e+00,,
1,75,6.000000000e-01,2,9,7.177206500e+01,1.091482960e+02,7.102844500e+01,3.410264300e+01,-4.490766700e+01,-1.161629000e+00,2.035996101e+00,5.061459069e+01,8.619329289e+00,1.324177585e+02,2.261362812e-04,1.126987670e-03,8.253336558e+01,4.113187186e+02,4.104383218e-03,1.737578499e-02,2.077416766e-01,2.300862501e+00,,
3,52,2.000000000e-01,1,1,3.430078300e+01,6.993484500e+01,4.207320900e+01,2.396631800e+01,-4.864524000e+00,-1.445058000e+00,2.258455367e+00,1.363076494e+02,7.767727062e+00,1.006487958e+02,5.079546716e-04,1.730197638e-03,1.200859703e+02,4.090374077e+02,4.873225978e-03,1.676096409e-02,6.642579779e-01,1.686970852e+00,7,1271.467525885096
3,52,2.000000000e-01,2,1,5.895325800e+01,8.214525300e+01,4.298056800e+01,2.315771700e+01,-9.288290000e+00,-1.005383000e+00,2.352148377e+00,2.105607271e+02,4.549893402e+00,4.776950648e+01,4.066264393e-04,9.930981471e-04,9.613088182e+01,2.347791274e+02,5.075393891e-03,9.817620948e-03,1.068678628e+00,4.689829075e-01,23,2135.9032756269985
3,52,2.000000000e-01,1,3,3.886664500e+01,7.713409400e+01,5.170153200e+01,2.445815800e+01,-3.927636000e+00,7.471000000e-03,2.881828768e+00,1.666914722e+02,7.964565573e+00,1.258205033e+02,5.388997953e-04,1.940404122e-03,1.274017317e+02,4.587324908e+02,6.218322052e-03,1.718569621e-02,1.036541257e+00,2.162312946e+00,21,1831.8527067620016
3,52,2.000000000e-01,2,3,7.130053300e+01,9.649610900e+01,3.641333600e+01,2.696090300e+01,-8.279485000e+00,2.556739000e+00,2.651479562e+00,2.651479562e+02,3.861201034e+00,3.905745504e+01,4.254063521e-04,7.495655932e-04,1.005706560e+02,1.772054015e+02,5.721281574e-03,8.331581601e-03,1.516986116e+00,3.254103738e-01,,
3,52,4.000000000e-01,2,4,8.124344200e+01,9.251370000e+01,4.908266700e+01,2.725892000e+01,-2.129723000e+01,-4.539834000e+00,1.467981655e+00,5.433608367e+01,6.634132032e+00,6.666502962e+01,2.980736503e-04,1.142980380e-03,7.046783012e+01,2.702129060e+02,3.167565957e-03,1.431492737e-02,1.721131289e-01,9.543050573e-01,,
3,52,4.000000000e-01,1,5,4.439143500e+01,8.131946300e+01,6.304589000e+01,2.717143800e+01,-6.601533000e+00,-7.674934000e+00,2.351016500e+00,7.569754705e+01,9.619158058e+00,1.471901563e+02,4.962348190e-04,2.107471229e-03,1.173152705e+02,4.982289592e+02,5.072951561e-03,2.075592532e-02,3.840099895e-01,3.055067892e+00,25,2146.3142596895473
3,52,4.000000000e-01,2,5,7.938461100e+01,9.561658100e+01,4.963720700e+01,2.328171100e+01,-1.176635500e+01,-6.555031000e+00,2.633772044e+00,1.762242551e+02,6.709716163e+00,9.086082782e+01,4.166963080e-04,1.164156051e-03,9.851150754e+01,2.752190634e+02,5.683072833e-03,1.447802050e-02,1.001495277e+00,1.315484928e+00,22,1948.06744485904
3,52,4.000000000e-01,2,6,8.135179800e+01,9.940654700e+01,5.004317900e+01,2.279774600e+01,-1.066122100e+01,-9.615395000e+00,1.881187462e+00,7.662878205e+01,6.524671975e+00,6.702242460e+01,3.520809604e-04,1.088376626e-03,8.323574152e+01,2.573039890e+02,4.059168820e-03,1.407873781e-02,3.110491628e-01,9.435911430e-01,23,1966.0216092320616
3,52,4.000000000e-01,1,7,4.617027900e+01,7.787947400e+01,5.886157800e+01,2.199171800e+01,-5.409811000e+00,-4.195931000e+00,3.895587154e+00,1.897892204e+02,1.072370247e+01,1.975582993e+02,6.405515794e-04,2.157583191e-03,1.514333113e+02,5.100759683e+02,8.405778920e-03,2.313927749e-02,1.595326228e+00,4.571356310e+00,28,2289.5651749689
3,52,5.000000000e-01,2,7,8.694547300e+01,9.661484900e+01,5.081347100e+01,2.479643300e+01,-1.319761300e+01,-1.079117600e+01,1.611877311e+00,6.965627029e+01,7.302588233e+00,7.987397278e+01,3.349155036e-04,1.116304269e-03,7.917764215e+01,2.639063854e+02,3.478059606e-03,1.575730174e-02,2.422686600e-01,1.258598290e+00,26,2149.027335608555
3,52,5.000000000e-01,2,8,7.778108100e+01,9.553703200e+01,5.207104300e+01,2.458735600e+01,-1.562256900e+01,-1.154032000e+01,4.703733447e+00,4.036891461e+02,6.842862974e+00,1.104925702e+02,6.361131411e-04,1.269238981e-03,1.503840166e+02,3.000618028e+02,1.014957230e-02,1.476532062e-02,4.097272173e+00,1.631458225e+00,25,2114.0737137885976
3,52,5.000000000e-01,1,9,4.549540200e+01,9.230481500e+01,6.592647800e+01,2.493843300e+01,-5.359268000e+00,-9.965777000e+00,5.714830848e+00,3.898128730e+02,1.309993649e+01,1.754609876e+02,8.209031452e-04,2.846407775e-03,1.940703693e+02,6.729215392e+02,1.233128737e-02,2.826664265e-02,4.806894558e+00,4.959693036e+00,33,2582.1614168678193
3,52,5.000000000e-01,2,9,8.030464800e+01,1.020206980e+02,5.114126300e+01,2.337798000e+01,-9.334991000e+00,-1.166524100e+01,1.538199724e+00,7.522732573e+01,6.748260107e+00,6.936447719e+01,3.147797346e-04,1.065730706e-03,7.441732887e+01,2.519502488e+02,3.319080359e-03,1.456118945e-02,2.496855393e-01,1.010029293e+00,26,2208.2832772169077
3,52,5.000000000e-01,2,10,8.274962700e+01,9.882398500e+01,5.731736600e+01,2.447436400e+01,-1.107916800e+01,-1.287321300e+01,2.004353395e+00,8.764332334e+01,6.896221936e+00,8.982624645e+01,3.531673593e-04,1.216913239e-03,8.349257795e+01,2.876914324e+02,4.324932507e-03,1.488045696e-02,3.790514581e-01,1.336655594e+00,23,2135.9032756269985
3,52,5.000000000e-01,1,11,4.381827100e+01,8.427928800e+01,6.790711000e+01,2.366887800e+01,-8.634764000e+00,-1.625411200e+01,4.557145217e+00,2.730763048e+02,1.212349596e+01,2.055404392e+02,7.112484206e-04,2.735385072e-03,1.681468081e+02,6.466745732e+02,9.833268692e-03,2.615970911e-02,2.685232678e+00,5.376878099e+00,31,2438.0941185639695
3,52,5.000000000e-01,2,11,7.989337000e+01,1.020404300e+02,4.398583000e+01,2.230178900e+01,-8.487071000e+00,-2.440826000e+00,1.792676794e+00,6.929590077e+01,5.980747841e+00,6.249896690e+01,3.639488434e-04,1.016927644e-03,8.604143722e+01,2.404126779e+02,3.868183205e-03,1.290507493e-02,2.680492395e-01,8.065538510e-01,30,2340.4819363872457
3,52,6.000000000e-01,2,12,8.340532800e+01,1.052595190e+02,5.666024100e+01,2.205204300e+01,-1.173195000e+01,-1.278256200e+01,1.850641765e+00,9.060358563e+01,8.343866235e+00,9.878553908e+01,3.434906324e-04,1.402498279e-03,8.120489519e+01,3.315657402e+02,3.993258248e-03,1.800413959e-02,3.618035156e-01,1.778548635e+00,24,2094.67831067933
3,52,6.000000000e-01,1,13,5.852134600e+01,9.291167000e+01,6.443599800e+01,2.077949800e+01,-9.621197000e+00,-1.564171700e+01,2.663783986e+00,1.339719980e+02,1.317903366e+01,1.801268254e+02,5.723245368e-04,2.569777403e-03,1.353037016e+02,6.075231316e+02,5.747831685e-03,2.843731610e-02,7.700484948e-01,5.122323473e+00,31,2497.4690628036205
3,52,6.000000000e-01,2,13,7.817785700e+01,9.965039600e+01,5.159827400e+01,2.458130400e+01,-1.336973500e+01,-7.719758000e+00,3.717729713e+00,2.537417212e+02,6.451292301e+00,1.169359350e+02,5.109398550e-04,1.128899533e-03,1.207916999e+02,2.668840418e+02,8.022003568e-03,1.392040139e-02,2.035516992e+00,1.627795151e+00,30,2399.686653606037
